photo_id,iiif_manifest_emanuscripta,iiif_image_emanuscripta
image_0081,https://www.e-manuscripta.ch/i3f/v20/2001962/manifest,https://www.e-manuscripta.ch/i3f/v21/2001963/full/304/0/default.jpg
image_0082,https://www.e-manuscripta.ch/i3f/v20/2001966/manifest,https://www.e-manuscripta.ch/i3f/v21/2001967/full/304/0/default.jpg
image_0083,https://www.e-manuscripta.ch/i3f/v20/2001971/manifest,https://www.e-manuscripta.ch/i3f/v21/2001972/full/304/0/default.jpg
image_0084,https://www.e-manuscripta.ch/i3f/v20/2001975/manifest,https://www.e-manuscripta.ch/i3f/v21/2001976/full/304/0/default.jpg
image_0085,https://www.e-manuscripta.ch/i3f/v20/2001980/manifest,https://www.e-manuscripta.ch/i3f/v21/2001981/full/304/0/default.jpg
image_0086,https://www.e-manuscripta.ch/i3f/v20/2001984/manifest,https://www.e-manuscripta.ch/i3f/v21/2001985/full/304/0/default.jpg
image_0087,https://www.e-manuscripta.ch/i3f/v20/2001989/manifest,https://www.e-manuscripta.ch/i3f/v21/2001990/full/304/0/default.jpg
image_1290,,
image_1291,https://www.e-manuscripta.ch/i3f/v20/1985067/manifest,https://www.e-manuscripta.ch/i3f/v21/1985068/full/304/0/default.jpg
image_1292,https://www.e-manuscripta.ch/i3f/v20/1985072/manifest,https://www.e-manuscripta.ch/i3f/v21/1985073/full/304/0/default.jpg
image_1293,https://www.e-manuscripta.ch/i3f/v20/1985077/manifest,https://www.e-manuscripta.ch/i3f/v21/1985078/full/304/0/default.jpg
image_1294,https://www.e-manuscripta.ch/i3f/v20/1985082/manifest,https://www.e-manuscripta.ch/i3f/v21/1985083/full/304/0/default.jpg
image_1295,https://www.e-manuscripta.ch/i3f/v20/1985086/manifest,https://www.e-manuscripta.ch/i3f/v21/1985087/full/304/0/default.jpg
image_1296,https://www.e-manuscripta.ch/i3f/v20/1985091/manifest,https://www.e-manuscripta.ch/i3f/v21/1985092/full/304/0/default.jpg
image_1297,https://www.e-manuscripta.ch/i3f/v20/1985096/manifest,https://www.e-manuscripta.ch/i3f/v21/1985097/full/304/0/default.jpg
image_1298,https://www.e-manuscripta.ch/i3f/v20/1985101/manifest,https://www.e-manuscripta.ch/i3f/v21/1985102/full/304/0/default.jpg
image_1299,https://www.e-manuscripta.ch/i3f/v20/1985105/manifest,https://www.e-manuscripta.ch/i3f/v21/1985106/full/304/0/default.jpg
image_1300,https://www.e-manuscripta.ch/i3f/v20/1985111/manifest,https://www.e-manuscripta.ch/i3f/v21/1985112/full/304/0/default.jpg
image_1301,https://www.e-manuscripta.ch/i3f/v20/1985115/manifest,https://www.e-manuscripta.ch/i3f/v21/1985116/full/304/0/default.jpg
image_1303,https://www.e-manuscripta.ch/i3f/v20/1985125/manifest,https://www.e-manuscripta.ch/i3f/v21/1985126/full/304/0/default.jpg
