photo_id,label,iiif_manifest,id_sla,title,date,date_normalised,travel,photographer,people_on_photo,characteristics,comments_1,captions_1,captions_2,signatures,stamp,orientation,shape,url_helveticarchives,url_wikimedia,url_emanuscripta,iiif_manifest_emanuscripta,repository,published_in,mentioned_in,comments_2
image_0174,"Türkei, Ankara: Menschen, 1933 bis 1934 [SLA-Schwarzenbach-A-5-02/095]",,SLA-Schwarzenbach-A-5-02/095,"Türkei, Ankara: Menschen",1933 bis 1934,1933/1934,Erste Persienreise,"Schwarzenbach, Annemarie (1908-1942)",,"schwarz-weiss, nicht aufgezogen",Sitzende Frauen vor einer Mauer,L,Die Fotografien von Annemarie Schwarzenbach sind gemeinfrei.,nicht signiert,nicht gestempelt,Horizontal,Rechteckig,https://www.helveticarchives.ch/detail.aspx?ID=108729,https://commons.wikimedia.org/wiki/File%3ACH-NB_-_T%C3%BCrkei%2C_Ankara-_Menschen_-_Annemarie_Schwarzenbach_-_SLA-Schwarzenbach-A-5-02-095.jpg,https://www.e-manuscripta.ch/doi/10.7891/e-manuscripta-72408,https://www.e-manuscripta.ch/i3f/v20/1981526/manifest,Schweizerisches Literaturarchiv (SLA),,,
image_0175,"Türkei, Ankara: Menschen, 1933 bis 1934 [SLA-Schwarzenbach-A-5-02/096]",,SLA-Schwarzenbach-A-5-02/096,"Türkei, Ankara: Menschen",1933 bis 1934,1933/1934,Erste Persienreise,"Schwarzenbach, Annemarie (1908-1942)",,"schwarz-weiss, nicht aufgezogen",Kinder zwischen Häusern,L,Die Fotografien von Annemarie Schwarzenbach sind gemeinfrei.,nicht signiert,nicht gestempelt,Horizontal,Rechteckig,https://www.helveticarchives.ch/detail.aspx?ID=108730,https://commons.wikimedia.org/wiki/File%3ACH-NB_-_T%C3%BCrkei%2C_Ankara-_Menschen_-_Annemarie_Schwarzenbach_-_SLA-Schwarzenbach-A-5-02-096.jpg,https://www.e-manuscripta.ch/doi/10.7891/e-manuscripta-72409,https://www.e-manuscripta.ch/i3f/v20/1981530/manifest,Schweizerisches Literaturarchiv (SLA),,,
image_0176,"Türkei, Ankara: Reiter, 1933 bis 1934 [SLA-Schwarzenbach-A-5-02/097]",,SLA-Schwarzenbach-A-5-02/097,"Türkei, Ankara: Reiter",1933 bis 1934,1933/1934,Erste Persienreise,"Schwarzenbach, Annemarie (1908-1942)",,"schwarz-weiss, nicht aufgezogen",Zwei Reiter,L VI¦Privataufnahmen aus Ankara (auf Umschlag),Die Fotografien von Annemarie Schwarzenbach sind gemeinfrei.,nicht signiert,nicht gestempelt,Horizontal,Rechteckig,https://www.helveticarchives.ch/detail.aspx?ID=108731,https://commons.wikimedia.org/wiki/File%3ACH-NB_-_T%C3%BCrkei%2C_Ankara-_Reiter_-_Annemarie_Schwarzenbach_-_SLA-Schwarzenbach-A-5-02-097.jpg,https://www.e-manuscripta.ch/doi/10.7891/e-manuscripta-72410,https://www.e-manuscripta.ch/i3f/v20/1981535/manifest,Schweizerisches Literaturarchiv (SLA),,,
image_0177,"Türkei, Ankara: Reiter, 1933 bis 1934 [SLA-Schwarzenbach-A-5-02/098]",,SLA-Schwarzenbach-A-5-02/098,"Türkei, Ankara: Reiter",1933 bis 1934,1933/1934,Erste Persienreise,"Schwarzenbach, Annemarie (1908-1942)",,"schwarz-weiss, nicht aufgezogen",Zwei Reiter mit einem Gehilfen,L VI¦Privataufnahmen aus Ankara (auf Umschlag),Die Fotografien von Annemarie Schwarzenbach sind gemeinfrei.,nicht signiert,nicht gestempelt,Horizontal,Rechteckig,https://www.helveticarchives.ch/detail.aspx?ID=108732,https://commons.wikimedia.org/wiki/File%3ACH-NB_-_T%C3%BCrkei%2C_Ankara-_Reiter_-_Annemarie_Schwarzenbach_-_SLA-Schwarzenbach-A-5-02-098.jpg,https://www.e-manuscripta.ch/doi/10.7891/e-manuscripta-72411,https://www.e-manuscripta.ch/i3f/v20/1981540/manifest,Schweizerisches Literaturarchiv (SLA),,,
image_0178,"Türkei, Ankara: Menschen, 1933 bis 1934 [SLA-Schwarzenbach-A-5-02/099]",,SLA-Schwarzenbach-A-5-02/099,"Türkei, Ankara: Menschen",1933 bis 1934,1933/1934,Erste Persienreise,,"Schwarzenbach, Annemarie (1908-1942)","schwarz-weiss, aufgezogen",Annemarie Schwarzenbach beim Fotografieren in Begleitung einer Frau,L V,,nicht signiert,nicht gestempelt,Horizontal,Rechteckig,https://www.helveticarchives.ch/detail.aspx?ID=108733,,,,Schweizerisches Literaturarchiv (SLA),,,
image_0179,"Türkei, Ankara: Menschen, 1933 bis 1934 [SLA-Schwarzenbach-A-5-02/100]",,SLA-Schwarzenbach-A-5-02/100,"Türkei, Ankara: Menschen",1933 bis 1934,1933/1934,Erste Persienreise,,"Schwarzenbach, Annemarie (1908-1942)","schwarz-weiss, nicht aufgezogen",Annemarie Schwarzenbach beim Fotografieren in Begleitung einer Frau,L V,,nicht signiert,nicht gestempelt,Horizontal,Rechteckig,https://www.helveticarchives.ch/detail.aspx?ID=108734,,,,Schweizerisches Literaturarchiv (SLA),,,
image_0180,"Türkei, Ankara: Menschen, 1933 bis 1934 [SLA-Schwarzenbach-A-5-02/101]",,SLA-Schwarzenbach-A-5-02/101,"Türkei, Ankara: Menschen",1933 bis 1934,1933/1934,Erste Persienreise,"Schwarzenbach, Annemarie (1908-1942)",,"schwarz-weiss, nicht aufgezogen",Frau mit Katze,L VI¦Privataufnahmen aus Ankara (auf Umschlag),Die Fotografien von Annemarie Schwarzenbach sind gemeinfrei.,nicht signiert,nicht gestempelt,Horizontal,Rechteckig,https://www.helveticarchives.ch/detail.aspx?ID=108735,https://commons.wikimedia.org/wiki/File%3ACH-NB_-_T%C3%BCrkei%2C_Ankara-_Menschen_-_Annemarie_Schwarzenbach_-_SLA-Schwarzenbach-A-5-02-101.jpg,https://www.e-manuscripta.ch/doi/10.7891/e-manuscripta-72412,https://www.e-manuscripta.ch/i3f/v20/1981545/manifest,Schweizerisches Literaturarchiv (SLA),,,
image_0181,"Türkei, Ankara: Menschen, 1933 bis 1934 [SLA-Schwarzenbach-A-5-02/102]",,SLA-Schwarzenbach-A-5-02/102,"Türkei, Ankara: Menschen",1933 bis 1934,1933/1934,Erste Persienreise,"Schwarzenbach, Annemarie (1908-1942)",,"schwarz-weiss, nicht aufgezogen",Frau mit zwei Katzen,L VI¦Privataufnahmen aus Ankara (auf Umschlag),Die Fotografien von Annemarie Schwarzenbach sind gemeinfrei.,nicht signiert,nicht gestempelt,Horizontal,Rechteckig,https://www.helveticarchives.ch/detail.aspx?ID=108736,https://commons.wikimedia.org/wiki/File%3ACH-NB_-_T%C3%BCrkei%2C_Ankara-_Menschen_-_Annemarie_Schwarzenbach_-_SLA-Schwarzenbach-A-5-02-102.jpg,https://www.e-manuscripta.ch/doi/10.7891/e-manuscripta-72413,https://www.e-manuscripta.ch/i3f/v20/1981549/manifest,Schweizerisches Literaturarchiv (SLA),,,
image_0182,"Türkei, Ankara: Landwirtschaftliche Hochschule, 1933 bis 1934 [SLA-Schwarzenbach-A-5-02/103]",,SLA-Schwarzenbach-A-5-02/103,"Türkei, Ankara: Landwirtschaftliche Hochschule",1933 bis 1934,1933/1934,Erste Persienreise,"Schwarzenbach, Annemarie (1908-1942)",,"schwarz-weiss, aufgezogen auf Karton",Treppe hoch zu einem Gebäude,Die Fotografien von Annemarie Schwarzenbach sind gemeinfrei.,,nicht signiert,nicht gestempelt,Horizontal,Rechteckig,https://www.helveticarchives.ch/detail.aspx?ID=113106,https://commons.wikimedia.org/wiki/File%3ACH-NB_-_T%C3%BCrkei%2C_Ankara-_Landwirtschaftliche_Hochschule_-_Annemarie_Schwarzenbach_-_SLA-Schwarzenbach-A-5-02-103.jpg,https://www.e-manuscripta.ch/doi/10.7891/e-manuscripta-72441,https://www.e-manuscripta.ch/i3f/v20/1981679/manifest,Schweizerisches Literaturarchiv (SLA),,,
image_0183,"Türkei, Ankara: Strasse, 1933 bis 1934 [SLA-Schwarzenbach-A-5-02/104]",,SLA-Schwarzenbach-A-5-02/104,"Türkei, Ankara: Strasse",1933 bis 1934,1933/1934,Erste Persienreise,"Schwarzenbach, Annemarie (1908-1942)",,"schwarz-weiss, nicht aufgezogen",Unterführung mit Steinen,L VI¦Privataufnahmen aus Ankara (auf Umschlag),Die Fotografien von Annemarie Schwarzenbach sind gemeinfrei.,nicht signiert,nicht gestempelt,Horizontal,Rechteckig,https://www.helveticarchives.ch/detail.aspx?ID=113107,https://commons.wikimedia.org/wiki/File%3ACH-NB_-_T%C3%BCrkei%2C_Ankara-_Strasse_-_Annemarie_Schwarzenbach_-_SLA-Schwarzenbach-A-5-02-104.jpg,https://www.e-manuscripta.ch/doi/10.7891/e-manuscripta-72442,https://www.e-manuscripta.ch/i3f/v20/1981684/manifest,Schweizerisches Literaturarchiv (SLA),,,
