iiif_manifest_emanuscripta,iiif_image_emanuscripta
https://www.e-manuscripta.ch/i3f/v20/1985067/manifest,https://www.e-manuscripta.ch/i3f/v21/1985068/full/304/0/default.jpg
https://www.e-manuscripta.ch/i3f/v20/1985072/manifest,https://www.e-manuscripta.ch/i3f/v21/1985073/full/304/0/default.jpg
https://www.e-manuscripta.ch/i3f/v20/1985077/manifest,https://www.e-manuscripta.ch/i3f/v21/1985078/full/304/0/default.jpg
https://www.e-manuscripta.ch/i3f/v20/1985082/manifest,https://www.e-manuscripta.ch/i3f/v21/1985083/full/304/0/default.jpg
https://www.e-manuscripta.ch/i3f/v20/1985086/manifest,https://www.e-manuscripta.ch/i3f/v21/1985087/full/304/0/default.jpg
https://www.e-manuscripta.ch/i3f/v20/1985091/manifest,https://www.e-manuscripta.ch/i3f/v21/1985092/full/304/0/default.jpg
https://www.e-manuscripta.ch/i3f/v20/1985096/manifest,https://www.e-manuscripta.ch/i3f/v21/1985097/full/304/0/default.jpg
https://www.e-manuscripta.ch/i3f/v20/1985101/manifest,https://www.e-manuscripta.ch/i3f/v21/1985102/full/304/0/default.jpg
https://www.e-manuscripta.ch/i3f/v20/1985105/manifest,https://www.e-manuscripta.ch/i3f/v21/1985106/full/304/0/default.jpg
https://www.e-manuscripta.ch/i3f/v20/1985111/manifest,https://www.e-manuscripta.ch/i3f/v21/1985112/full/304/0/default.jpg
https://www.e-manuscripta.ch/i3f/v20/1985115/manifest,https://www.e-manuscripta.ch/i3f/v21/1985116/full/304/0/default.jpg
https://www.e-manuscripta.ch/i3f/v20/1985125/manifest,https://www.e-manuscripta.ch/i3f/v21/1985126/full/304/0/default.jpg
https://www.e-manuscripta.ch/i3f/v20/1985129/manifest,https://www.e-manuscripta.ch/i3f/v21/1985130/full/304/0/default.jpg
,
,
https://www.e-manuscripta.ch/i3f/v20/1985134/manifest,https://www.e-manuscripta.ch/i3f/v21/1985135/full/304/0/default.jpg
https://www.e-manuscripta.ch/i3f/v20/1985139/manifest,https://www.e-manuscripta.ch/i3f/v21/1985140/full/304/0/default.jpg
https://www.e-manuscripta.ch/i3f/v20/1985144/manifest,https://www.e-manuscripta.ch/i3f/v21/1985145/full/304/0/default.jpg
https://www.e-manuscripta.ch/i3f/v20/1985148/manifest,https://www.e-manuscripta.ch/i3f/v21/1985149/full/304/0/default.jpg
https://www.e-manuscripta.ch/i3f/v20/1985152/manifest,https://www.e-manuscripta.ch/i3f/v21/1985153/full/304/0/default.jpg
https://www.e-manuscripta.ch/i3f/v20/1985157/manifest,https://www.e-manuscripta.ch/i3f/v21/1985158/full/304/0/default.jpg
https://www.e-manuscripta.ch/i3f/v20/1985162/manifest,https://www.e-manuscripta.ch/i3f/v21/1985163/full/304/0/default.jpg
https://www.e-manuscripta.ch/i3f/v20/1985167/manifest,https://www.e-manuscripta.ch/i3f/v21/1985168/full/304/0/default.jpg
https://www.e-manuscripta.ch/i3f/v20/1985171/manifest,https://www.e-manuscripta.ch/i3f/v21/1985172/full/304/0/default.jpg
https://www.e-manuscripta.ch/i3f/v20/1985176/manifest,https://www.e-manuscripta.ch/i3f/v21/1985177/full/304/0/default.jpg
https://www.e-manuscripta.ch/i3f/v20/1985180/manifest,https://www.e-manuscripta.ch/i3f/v21/1985182/full/304/0/default.jpg
https://www.e-manuscripta.ch/i3f/v20/1985185/manifest,https://www.e-manuscripta.ch/i3f/v21/1985186/full/304/0/default.jpg
https://www.e-manuscripta.ch/i3f/v20/1985190/manifest,https://www.e-manuscripta.ch/i3f/v21/1985191/full/304/0/default.jpg
,
,
https://www.e-manuscripta.ch/i3f/v20/1985194/manifest,https://www.e-manuscripta.ch/i3f/v21/1985195/full/304/0/default.jpg
https://www.e-manuscripta.ch/i3f/v20/1985199/manifest,https://www.e-manuscripta.ch/i3f/v21/1985200/full/304/0/default.jpg
https://www.e-manuscripta.ch/i3f/v20/1985204/manifest,https://www.e-manuscripta.ch/i3f/v21/1985205/full/304/0/default.jpg
https://www.e-manuscripta.ch/i3f/v20/1985209/manifest,https://www.e-manuscripta.ch/i3f/v21/1985210/full/304/0/default.jpg
https://www.e-manuscripta.ch/i3f/v20/1985214/manifest,https://www.e-manuscripta.ch/i3f/v21/1985215/full/304/0/default.jpg
https://www.e-manuscripta.ch/i3f/v20/2001994/manifest,https://www.e-manuscripta.ch/i3f/v21/2001995/full/304/0/default.jpg
https://www.e-manuscripta.ch/i3f/v20/2001999/manifest,https://www.e-manuscripta.ch/i3f/v21/2002000/full/304/0/default.jpg
